Year,Country,AthleteCount
1896,Greece,10
1896,Germany,66
1896,Switzerland,7
1896,Great Britain,1
1896,France,1
1896,Denmark,1
1896,Hungary,8
1896,Ethnikos Gymnastikos Syllogos,2
1896,Sweden,1
1900,Germany,14
1900,France,108
1900,Switzerland,3
1900,Great Britain,4
1900,Belgium,2
1900,Bohemia,1
1900,Hungary,2
1900,Italy,1
1904,United States,342
1904,"La Salle Turnverein, Chicago",6
1904,"Passaic Turnverein, Passaic",6
1904,"Davenport Turngemeinde, Davenport",6
1904,"Norwegier Turnverein, Brooklyn",6
1904,"Turnverein Vorwrts, Cleveland",6
1904,"New York Turnverein, New York",6
1904,Germany,26
1904,"Concordia Turnverein, St Louis",6
1904,"South St Louis Turnverein, St Louis",6
1904,"Central Turnverein, Chicago",6
1904,"Turnverein Vorwrts, Chicago",6
1904,"Socialer Turnverein, Detroit",6
1904,"Philadelphia Turngemeinde, Philadelphia",6
1904,"Milwaukee Turnverein, Milwaukee",6
1904,Switzerland,6
1904,Austria,3
1904,Norway,3
1906,Germany,33
1906,Greece,23
1906,Roma,9
1906,Denmark,18
1906,Norway,21
1906,Great Britain,4
1906,Pistoja/Firenze,9
1906,Italy,6
1906,France,8
1906,Hungary,22
1906,Bohemia,3
1908,Italy,32
1908,Norway,38
1908,Denmark,24
1908,Hungary,6
1908,Sweden,38
1908,Great Britain,65
1908,Netherlands,39
1908,France,59
1908,Germany,11
1908,Bohemia,2
1908,Belgium,2
1908,Canada,2
1908,Finland,31
1912,Norway,46
1912,Luxembourg,41
1912,Russia,4
1912,Denmark,54
1912,Hungary,20
1912,Sweden,24
1912,Great Britain,29
1912,Italy,24
1912,Germany,36
1912,France,6
1912,Finland,25
1912,Bohemia,1
1920,Norway,26
1920,Sweden,24
1920,Denmark,45
1920,Italy,32
1920,Great Britain,27
1920,Belgium,53
1920,France,32
1920,Czechoslovakia,16
1920,Monaco,2
1920,United States,4
1920,Egypt,2
1924,Great Britain,72
1924,Italy,72
1924,France,72
1924,Yugoslavia,72
1924,Luxembourg,72
1924,Switzerland,72
1924,Finland,72
1924,Czechoslovakia,62
1924,United States,72
1928,Netherlands,66
1928,Italy,68
1928,Yugoslavia,56
1928,France,65
1928,United States,56
1928,Great Britain,66
1928,Czechoslovakia,56
1928,Luxembourg,56
1928,Hungary,63
1928,Switzerland,56
1928,Finland,56
1932,Mexico,7
1932,United States,39
1932,Italy,26
1932,Hungary,27
1932,Japan,20
1932,Switzerland,1
1932,Finland,27
1936,Romania,64
1936,Japan,64
1936,Italy,69
1936,France,64
1936,Switzerland,64
1936,Czechoslovakia,72
1936,Germany,72
1936,Great Britain,8
1936,United States,72
1936,Bulgaria,56
1936,Poland,8
1936,Luxembourg,62
1936,Hungary,72
1936,Yugoslavia,72
1936,Austria,64
1936,Finland,64
1948,Finland,64
1948,Egypt,64
1948,Cuba,56
1948,Mexico,35
1948,Great Britain,72
1948,Argentina,55
1948,Sweden,8
1948,France,72
1948,Italy,72
1948,United States,71
1948,Hungary,72
1948,Yugoslavia,72
1948,Czechoslovakia,72
1948,Luxembourg,64
1948,Austria,67
1948,Belgium,8
1948,Switzerland,64
1948,Netherlands,8
1948,Denmark,64
1952,Finland,120
1952,Romania,120
1952,Cuba,21
1952,Egypt,64
1952,Portugal,63
1952,Bulgaria,120
1952,France,120
1952,Germany,119
1952,United States,120
1952,Soviet Union,120
1952,Sweden,112
1952,Italy,120
1952,Spain,7
1952,Czechoslovakia,120
1952,Hungary,120
1952,Argentina,14
1952,Great Britain,104
1952,Yugoslavia,120
1952,Luxembourg,48
1952,Netherlands,56
1952,Belgium,21
1952,Saar,48
1952,Switzerland,64
1952,Austria,120
1952,Poland,120
1952,Norway,79
1952,Denmark,56
1952,Japan,40
1952,South Africa,21
1952,India,14
1956,Japan,90
1956,Soviet Union,90
1956,Germany,48
1956,United States,90
1956,Sweden,56
1956,Czechoslovakia,90
1956,Australia,63
1956,Hungary,56
1956,Italy,42
1956,France,28
1956,Bulgaria,36
1956,Canada,12
1956,Finland,48
1956,Great Britain,19
1956,Poland,42
1956,Romania,42
1956,Luxembourg,12
1956,India,21
1956,Cuba,7
1956,South Africa,14
1956,Austria,7
1960,United Arab Republic,48
1960,Israel,15
1960,Japan,84
1960,Sweden,84
1960,Spain,82
1960,Soviet Union,84
1960,Finland,84
1960,Bulgaria,84
1960,United States,84
1960,Luxembourg,58
1960,Hungary,84
1960,Austria,84
1960,Switzerland,48
1960,Yugoslavia,63
1960,Czechoslovakia,84
1960,Germany,84
1960,Australia,24
1960,Belgium,29
1960,Great Britain,84
1960,Portugal,22
1960,Italy,84
1960,Argentina,7
1960,France,84
1960,Poland,84
1960,Morocco,44
1960,Netherlands,36
1960,Romania,36
1960,South Korea,12
1960,South Africa,5
1960,Canada,17
1960,Norway,7
1960,Cuba,10
1960,Mexico,7
1964,Japan,84
1964,Bulgaria,58
1964,Poland,84
1964,Hungary,84
1964,Soviet Union,84
1964,France,36
1964,United States,84
1964,Iran,12
1964,Australia,78
1964,Switzerland,48
1964,India,48
1964,Yugoslavia,48
1964,Romania,84
1964,Italy,48
1964,Czechoslovakia,84
1964,South Korea,63
1964,Portugal,5
1964,Canada,26
1964,Sweden,57
1964,Finland,58
1964,Germany,84
1964,Cuba,48
1964,New Zealand,15
1964,Great Britain,24
1964,Belgium,5
1964,Chinese Taipei,53
1964,Egypt,7
1964,Algeria,7
1964,Philippines,11
1964,Austria,5
1964,Argentina,7
1964,Luxembourg,14
1964,Norway,14
1964,Mongolia,17
1968,Portugal,12
1968,Bulgaria,78
1968,Cuba,84
1968,United States,84
1968,Yugoslavia,53
1968,Hungary,84
1968,East Germany,84
1968,Great Britain,24
1968,Switzerland,48
1968,Philippines,9
1968,Italy,63
1968,Czechoslovakia,84
1968,France,57
1968,Norway,36
1968,Mexico,84
1968,Canada,70
1968,Australia,12
1968,Soviet Union,84
1968,Chinese Taipei,24
1968,Poland,84
1968,Mongolia,22
1968,Sweden,36
1968,Japan,84
1968,Belgium,10
1968,West Germany,84
1968,Finland,48
1968,South Korea,7
1968,Algeria,7
1968,Ecuador,21
1968,Denmark,19
1972,East Germany,84
1972,Italy,84
1972,Great Britain,57
1972,Mexico,43
1972,Norway,43
1972,Soviet Union,84
1972,Canada,54
1972,France,84
1972,United States,84
1972,Cuba,48
1972,Yugoslavia,84
1972,Liechtenstein,7
1972,Poland,84
1972,Switzerland,80
1972,Hungary,84
1972,Denmark,7
1972,Bulgaria,84
1972,Czechoslovakia,84
1972,Romania,84
1972,Australia,19
1972,Netherlands,36
1972,West Germany,84
1972,New Zealand,12
1972,Spain,26
1972,Japan,84
1972,North Korea,48
1972,Sweden,5
1972,Finland,7
1976,Soviet Union,84
1976,Canada,57
1976,France,63
1976,United States,84
1976,Switzerland,48
1976,Hungary,84
1976,Denmark,7
1976,Spain,36
1976,West Germany,84
1976,Netherlands,36
1976,Romania,84
1976,East Germany,84
1976,Italy,57
1976,Czechoslovakia,84
1976,Great Britain,36
1976,Australia,19
1976,Poland,48
1976,Belgium,10
1976,Bulgaria,84
1976,Mexico,10
1976,Cuba,14
1976,Japan,84
1976,Israel,7
1980,Sweden,5
1980,Hungary,84
1980,Portugal,5
1980,Soviet Union,83
1980,Cuba,48
1980,Czechoslovakia,84
1980,Bulgaria,84
1980,Australia,17
1980,Spain,36
1980,France,48
1980,East Germany,84
1980,Romania,84
1980,Great Britain,36
1980,North Korea,84
1980,Brazil,12
1980,Mongolia,10
1980,Mexico,5
1980,Poland,57
1984,Sweden,12
1984,Romania,50
1984,Italy,26
1984,Spain,57
1984,France,58
1984,Great Britain,84
1984,Australia,24
1984,West Germany,84
1984,Switzerland,84
1984,United States,84
1984,Canada,84
1984,South Korea,58
1984,China,84
1984,Brazil,12
1984,Israel,24
1984,Norway,7
1984,Japan,84
1984,Mexico,7
1984,San Marino,7
1988,West Germany,58
1988,Australia,17
1988,Italy,63
1988,Soviet Union,84
1988,South Korea,57
1988,Great Britain,24
1988,France,63
1988,East Germany,84
1988,Romania,84
1988,Spain,57
1988,Canada,84
1988,Hungary,84
1988,Switzerland,14
1988,Chinese Taipei,7
1988,China,84
1988,United States,84
1988,Czechoslovakia,36
1988,Bulgaria,84
1988,Guatemala,5
1988,Belgium,5
1988,Japan,84
1988,Sweden,7
1988,Yugoslavia,7
1988,Portugal,12
1988,Mexico,7
1988,Brazil,12
1988,Israel,5
1988,Greece,5
1992,Japan,63
1992,Bulgaria,84
1992,Australia,43
1992,North Korea,57
1992,Hungary,84
1992,Great Britain,58
1992,Czechoslovakia,29
1992,Netherlands,5
1992,Romania,84
1992,Unified Team,84
1992,France,57
1992,United States,84
1992,Italy,58
1992,Germany,84
1992,Puerto Rico,7
1992,Switzerland,48
1992,Belgium,5
1992,Spain,50
1992,Canada,57
1992,Argentina,17
1992,China,84
1992,South Korea,58
1992,Sweden,7
1992,Israel,7
1992,Slovenia,7
1992,Mexico,12
1992,Brazil,12
1992,Guatemala,5
1992,Norway,5
1996,Iceland,7
1996,Romania,89
1996,France,92
1996,United States,91
1996,Hungary,61
1996,Italy,61
1996,Belarus,90
1996,Germany,61
1996,China,91
1996,Great Britain,24
1996,Canada,36
1996,Spain,46
1996,Uzbekistan,10
